study_number,type,Weeks,Calculated_PTA,Estimated_PTA,Delta_days
WA43380,Planned,130.36,2027-02-14,2025-09-30,-502
WA43380,Actual,130.36,2027-02-13,2025-09-30,-501
WA40404,Planned,256.37,2031-05-17,2025-05-01,-2207
WA40404,Actual,256.37,2029-04-15,2025-05-01,-1445
MR43808,Planned,156.53,2027-05-16,2025-06-01,-714
MR43808,Actual,156.53,2026-12-18,2025-06-01,-565
BO29554,Planned,108.63,2026-09-30,2025-03-03,-576
GO29781,Planned,52.0,2023-09-15,2022-10-03,-347
GO29781,Actual,52.0,2024-01-12,2022-10-03,-466
YO39609,Planned,78.27,2024-10-29,2025-02-17,111
YO39609,Actual,78.27,2024-05-02,2025-02-17,291
BN43703,Planned,52.18,2025-02-27,2025-03-02,3
BN43703,Actual,52.18,2025-03-13,2025-03-02,-11
BO28984,Planned,104.28,2018-01-06,2025-02-03,2585
BO28984,Actual,104.28,2018-01-06,2025-02-03,2585
MO42623,Planned,26.07,2023-07-02,2025-06-02,701
MO42623,Actual,26.07,2024-06-07,2025-06-02,360
BO42161,Planned,147.74,2027-01-28,2024-12-01,-788
BO42161,Actual,147.74,2027-01-28,2024-12-01,-788
BP43963,Planned,52.0,2025-06-11,2024-11-01,-222
BP43963,Actual,52.0,2024-08-21,2024-11-01,72
GN41791,Planned,260.89,2028-08-30,2025-01-31,-1307
GN41791,Actual,260.89,2028-04-20,2025-01-31,-1175
ML44030,Planned,52.18,2025-03-29,2023-09-13,-563
MO42319,Planned,156.53,2029-01-04,2023-01-16,-2180
MO42319,Actual,156.53,2026-05-05,2023-01-16,-1205
MO43576,Planned,52.18,2024-05-11,2024-07-01,51
MO43576,Actual,52.18,2024-07-12,2024-07-01,-11
WP44131,Planned,40.0,2025-11-07,2024-07-23,-472
WP44131,Actual,40.0,2025-10-10,2024-07-23,-444
BN40703,Planned,260.89,2025-10-26,2024-09-09,-412
BN40703,Actual,260.89,2027-01-28,2024-09-09,-871
BP39054,Planned,260.89,2024-07-30,2022-10-31,-638
BP39054,Actual,260.89,2025-01-14,2022-10-31,-806
BP40087,Planned,104.28,2023-06-17,2023-01-01,-167
BP40087,Actual,104.28,2023-06-22,2023-01-01,-172
BP40657,Planned,143.39,2027-06-02,2024-12-31,-883
BP40657,Actual,143.39,2025-02-06,2024-12-31,-37
BP41628,Planned,121.66,2027-04-29,2022-09-26,-1676
CA41705,Planned,313.08,2029-02-06,2025-10-31,-1194
CA41705,Actual,313.08,2029-02-06,2025-10-31,-1194
CN42097,Planned,104.36,2025-05-12,2023-04-01,-772
CN42097,Actual,104.36,2024-11-15,2023-04-01,-594
GO30103,Planned,52.18,2020-03-08,2022-10-03,939
GO30103,Actual,52.18,2023-12-12,2022-10-03,-435
GR41986,Planned,72.0,2023-08-01,2022-07-19,-378
GR41986,Actual,72.0,2023-01-17,2022-07-19,-182
GR42691,Planned,108.0,2024-08-02,2023-02-20,-529
GR42691,Actual,108.0,2026-10-20,2023-02-20,-1338
MA30143,Planned,192.0,2023-02-22,2021-09-01,-539
MA30143,Actual,192.0,2023-02-22,2021-09-01,-539
MN39159,Planned,216.0,2030-08-20,2022-02-01,-3122
MN39159,Actual,216.0,2027-04-26,2022-02-01,-1910
MO29872,Planned,182.5,2023-03-05,2021-10-01,-520
MO29872,Actual,182.5,2023-04-01,2021-10-01,-547
MO39874,Planned,156.43,2024-11-15,2024-12-16,31
MO39874,Actual,156.43,2025-08-24,2024-12-16,-251
MX39795,Planned,78.21,2024-04-30,2024-06-09,40
MX39795,Actual,78.21,2024-04-30,2024-06-09,40
YO39309,Planned,48.0,2022-04-19,2022-05-02,13
YO39309,Actual,48.0,2022-04-19,2022-05-02,13
GO41767,Planned,312.86,2027-02-25,2024-06-28,-972
GO41767,Actual,312.86,2027-03-10,2024-06-28,-985
MN39158,Planned,104.29,2027-08-01,2020-08-02,-2555
MN39158,Actual,104.29,2025-10-26,2020-08-02,-1911
BO41423,Planned,208.71,2025-10-30,2023-07-01,-852
BO41423,Actual,208.71,2025-08-25,2023-07-01,-786
BO44157,Planned,130.36,2029-03-17,2025-02-03,-1503
BO44157,Actual,130.36,2027-03-26,2025-02-03,-781
