,,
,,
Protocol Number,Min of Date of final patient approval,Min of Treatment start date
BH21260,9-May-2019,31-May-2019
BH29812,18-Apr-2019,30-May-2019
BH29884,6-Dec-2019,8-Jan-2020
BH29992,19-Jan-2020,4-Mar-2020
BH30071,23-Feb-2022,9-May-2022
BH39147,27-May-2020,2-Jun-2020
BN40703,7-Aug-2024,24-Sep-2024
BN42082,9-Dec-2021,23-Feb-2022
BN42083,8-Aug-2025,12-Sep-2025
BN43703,5-Sep-2025,30-Dec-1899
BO18192,27-May-2019,18-Oct-2019
BO20231,8-May-2019,24-Apr-2019
BO20571,16-Sep-2020,1-Apr-2019
BO20792,9-May-2019,22-Jul-2019
BO20800,9-May-2019,2-Sep-2019
BO22589,24-Aug-2016,31-May-2019
BO25114,25-Mar-2019,5-Mar-2019
BO25430,6-Apr-2020,5-May-2020
BO27798,18-Apr-2019,30-Dec-1899
BO28984,5-Feb-2025,19-Mar-2025
BO29159,21-Mar-2019,13-May-2019
BO29554,6-May-2020,16-May-2020
BO29561,22-Jul-2019,6-Nov-2019
BO39182,20-Jun-2022,28-Jun-2022
BO39610,18-Feb-2025,29-Apr-2025
BO39633,27-Sep-2020,1-Oct-2020
BO40336,14-Mar-2024,30-Dec-1899
BO40729,24-Jun-2021,24-Sep-2021
BO41423,5-May-2023,25-May-2023
BO41932,19-Mar-2024,23-May-2024
BO42161,26-Sep-2024,22-Jan-2025
BO42162,16-Dec-2024,27-Feb-2025
BO42355,27-May-2020,21-Jul-2020
BO42533,27-May-2025,11-Jul-2025
BO42592,21-Aug-2024,27-Aug-2024
BO42863,23-Oct-2023,11-Dec-2023
BO42864,18-Oct-2023,28-Nov-2023
BO44157,28-Jan-2025,29-Apr-2025
BP27836,21-Mar-2019,26-Sep-2019
BP28179,25-Mar-2019,30-Dec-1899
BP29392,18-Oct-2019,13-Nov-2019
BP29435,30-Oct-2019,25-Nov-2019
BP29842,20-Sep-2019,25-Mar-2020
BP29889,8-Oct-2019,25-Oct-2019
BP39054,21-Dec-2023,11-Jul-2024
BP39055,14-Sep-2021,5-Oct-2021
BP39056,4-Nov-2020,14-Jan-2021
BP39144,9-Jan-2024,13-Mar-2024
BP39365,12-Nov-2019,22-Nov-2019
BP40087,21-Dec-2022,9-Feb-2023
BP40234,22-Mar-2021,10-May-2021
BP40657,18-Jun-2024,15-Aug-2024
BP41054,22-Sep-2021,12-Oct-2021
BP41628,18-Jul-2022,25-Jul-2022
BP42573,15-Nov-2024,28-Jan-2025
BP43963,11-Dec-2024,17-Apr-2025
CA41705,19-Sep-2024,13-Nov-2024
CA42750,29-Apr-2024,8-May-2024
CN41144,4-Apr-2023,30-Dec-1899
CN42097,27-Mar-2024,20-Aug-2024
CO39262,7-Aug-2023,14-Dec-2023
CO39303,4-May-2023,13-Jun-2023
CO39385,29-Oct-2019,9-Apr-2020
CO39611,28-May-2024,30-Dec-1899
CO39721,20-Nov-2019,5-Feb-2020
CO39722,11-Oct-2019,18-Oct-2019
CO40016,23-Sep-2021,10-Jan-2022
CO40115,22-Apr-2024,25-Jun-2024
