study,FSSE_A,LSSE_A,LSLV_A,missing_FSSE,missing_LSSE,missing_LSLV,missing_any_milestone,approval,missing_approval,included,reason
BH30071,2016-09-27,2017-05-10,2022-05-12,False,False,False,False,,True,False,approval missing
BN29739,2015-10-27,2016-08-29,2021-09-21,False,False,False,False,,True,False,approval missing
BN40703,2019-08-07,2022-02-17,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BN42082,2020-11-26,2022-09-06,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BN42083,2020-12-03,2023-05-15,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BN43703,2023-02-07,2024-04-02,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BN44619,2024-04-26,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
BO28984,2014-08-19,2016-01-20,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO29554,2017-09-22,,,False,True,True,True,2020-05-06,False,False,"LSSE missing, LSLV missing"
BO39182,2017-01-30,2017-06-30,2022-06-29,False,False,False,False,,True,False,approval missing
BO39610,2017-12-27,2024-02-08,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO40336,2018-08-16,2021-12-08,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO40933,2019-06-19,2020-07-24,2022-01-05,False,False,False,False,,True,False,approval missing
BO41423,2020-02-10,2021-08-31,,False,False,True,True,2023-05-05,False,False,LSLV missing
BO41932,2021-01-18,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
BO42161,2020-09-29,2024-05-02,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO42162,2020-10-08,2022-06-06,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO42533,2021-03-02,2022-05-12,,False,False,True,True,2025-05-27,False,False,LSLV missing
BO42592,2020-12-15,2023-09-14,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO42863,2017-03-17,2021-12-28,2024-03-21,False,False,False,False,,True,False,approval missing
BO42864,2020-07-27,2024-02-06,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BO44157,2023-04-13,2020-01-29,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BP39054,2017-03-02,,2025-02-11,False,True,False,True,,True,False,"LSSE missing, approval missing"
BP39144,2016-11-14,2019-09-18,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BP40087,2018-04-30,2021-07-12,2023-09-28,False,False,False,False,,True,False,approval missing
BP40234,2018-02-19,2020-08-25,2021-12-30,False,False,False,False,,True,False,approval missing
BP40657,2018-12-27,2022-03-30,2024-11-11,False,False,False,False,,True,False,approval missing
BP41054,2019-06-24,2021-02-10,2022-07-14,False,False,False,False,,True,False,approval missing
BP41628,2020-05-04,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
BP42573,2022-04-05,2024-01-09,,False,False,True,True,,True,False,"LSLV missing, approval missing"
BP43963,2022-08-15,2023-08-31,,False,False,True,True,,True,False,"LSLV missing, approval missing"
CA41705,2020-08-10,2023-03-02,,False,False,True,True,,True,False,"LSLV missing, approval missing"
CA42750,2021-10-26,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
CN41144,2019-08-12,2021-08-18,,False,False,True,True,,True,False,"LSLV missing, approval missing"
CN42097,2022-05-03,2023-09-19,,False,False,True,True,,True,False,"LSLV missing, approval missing"
CO39262,2017-01-13,2018-04-26,2024-07-01,False,False,False,False,,True,False,approval missing
CO39303,2017-06-30,2019-01-17,2024-04-24,False,False,False,False,2023-05-04,False,True,included
CO39611,2017-12-22,2022-06-28,2024-09-26,False,False,False,False,2024-05-28,False,True,included
CO40016,2018-01-06,2020-04-08,2023-01-04,False,False,False,False,,True,False,approval missing
CO40115,2018-03-30,2020-08-14,,False,False,True,True,,True,False,"LSLV missing, approval missing"
CO40151,2018-02-13,,2022-03-16,False,True,False,True,,True,False,"LSSE missing, approval missing"
CO41012,2019-11-21,2020-12-22,2023-08-29,False,False,False,False,,True,False,approval missing
CO41101,2019-11-25,2020-09-17,2023-02-28,False,False,False,False,,True,False,approval missing
CO41792,2020-07-09,2021-09-28,2022-10-14,False,False,False,False,,True,False,approval missing
CO42177,2020-09-28,2021-10-22,2023-03-08,False,False,False,False,,True,False,approval missing
CO43116,2022-05-10,2022-10-10,2023-01-19,False,False,False,False,,True,False,approval missing
CR44829,2024-03-06,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
GN40040,2019-01-25,2020-07-08,2023-08-30,False,False,False,False,,True,False,approval missing
GN41791,2020-10-26,2023-05-31,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO27983,2013-07-30,2021-02-19,2022-10-28,False,False,False,False,,True,False,approval missing
GO29089,2013-12-16,2014-09-22,2022-03-08,False,False,False,False,,True,False,approval missing
GO29781,2015-09-15,2023-02-01,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO30103,2016-05-23,2022-12-21,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO30140,2016-04-06,2019-03-10,2021-06-10,False,False,False,False,,True,False,approval missing
GO39733,2017-12-21,2022-01-10,2025-07-01,False,False,False,False,,True,False,approval missing
GO40290,2018-08-09,2019-03-20,,False,False,True,True,2025-05-30,False,False,LSLV missing
GO40516,2018-09-25,2024-02-26,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO41717,2020-03-04,2023-10-27,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO41767,2020-02-04,2021-03-30,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO41892,2020-10-01,2021-11-02,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO42144,2020-07-29,2025-05-25,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO42273,2021-05-12,2023-11-16,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO42661,2021-02-23,2021-08-27,2023-08-08,False,False,False,False,,True,False,approval missing
GO43104,2021-11-18,2024-01-30,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GO43712,2022-08-16,,2025-05-30,False,True,False,True,,True,False,"LSSE missing, approval missing"
GO44096,2023-05-04,,,False,True,True,True,,True,False,"LSSE missing, LSLV missing, approval missing"
GP43365,2021-11-18,2024-07-30,,False,False,True,True,,True,False,"LSLV missing, approval missing"
GR40349,2018-09-05,2019-09-19,2022-01-31,False,False,False,False,,True,False,approval missing
GR40844,2019-03-07,2021-10-19,2023-09-11,False,False,False,False,,True,False,approval missing
GR41984,2021-03-02,2022-03-15,2023-12-07,False,False,False,False,,True,False,approval missing
GR41986,2021-03-02,2022-09-07,2024-01-31,False,False,False,False,,True,False,approval missing
GR41987,2020-08-05,2021-09-15,2023-10-11,False,False,False,False,,True,False,approval missing
GR42691,2021-04-19,2022-08-29,2024-09-03,False,False,False,False,,True,False,approval missing
GR43742,2022-10-17,2022-11-02,2022-11-10,False,False,False,False,,True,False,approval missing
GR44277,2023-01-09,2024-07-10,,False,False,True,True,,True,False,"LSLV missing, approval missing"
MA30143,2017-03-24,2019-08-22,2023-04-27,False,False,False,False,,True,False,approval missing
ML29755,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML29869,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML29986,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40237,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40600,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40896,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40908,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41025,,,,True,True,True,True,2025-05-12,False,False,"FSSE missing, LSSE missing, LSLV missing"
ML41086,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41241,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41813,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42037,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42071,2020-07-30,2021-12-20,,False,False,True,True,,True,False,"LSLV missing, approval missing"
ML42096,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42224,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42249,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42439,2021-01-13,2022-12-31,2023-12-04,False,False,False,False,,True,False,approval missing
ML42904,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42906,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
